,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,Data Engineer + Apprentice (Entry-Level),Employer Provided Salary:$35K - $45K,"Job Description:
Are you passionate about data and technology? Would you like to be on the forefront of innovation, working in a fast-paced environment with the resources of an established global tech consulting company? In the role of Data Engineer Apprentice, you will be providing support to consulting and technical teams across various stages of the Software Development Life Cycle. You will play a critical role by contributing to the knowledge management process while interfacing with internal teams to ensure high-quality deliverables.
The Data Engineer Apprentice opportunity is for early-career starters interested in breaking into the tech industry while gaining real-world experience. Our apprenticeship is designed to provide a pathway to a successful tech career where opportunities traditionally do not exist. Therefore, we must insist that all applicants have not yet completed their Bachelor’s degree.
We believe in the earn-while-you-learn model, so you will work full-time with our partner company while also participating in New Apprenticeship’s Data Analyst Apprenticeship program which is at no cost to you. The apprenticeship offers small cohorts, learning hands-on from industry experts, certifications, portfolio building, career coaching, mentoring, plus the ability to earn additional credits towards a bachelor's degree.",3.3,"New Apprenticeship
3.3","Jersey City, NJ",-1,-1,-1,-1,-1,-1
11,Data Engineer,$59K - $113K (Glassdoor est.),"Job Title: Data Engineer
Location: Minneapolis,MN
Duration: 6+ month contract
No H1B/OPT/CPT
Some of the tech that we use:
Hadoop/Hive Apache Spark Apache Kafka Scala Python SQL Git (Github Enterprise) Drone Docker ELK + Grafana Graph About you: 5 + years of software development experience Working knowledge of package-specific configuration and deployment along with the ability to build custom solutions Designs new testing methods and resolves routine and non-routine technical issues with minimal assistance Demonstrates strong proficiency in core development platforms within own domain Builds strong commitment within the team to support the appropriate team priorities Clearly communicates Agile concepts to partners within the product team Demonstrates a solid understanding of the impact of own work on the team and/or guests Writes and organizes code using multiple computer languages, including distributed programming and understand different frameworks and paradigm Delivers high-performance, scalable, repeatable, and secure deliverables with broad impact (high throughput and low latency) Influences and applies data standards, policies, and procedures",3.9,"Technodeed Inc
3.9","Minneapolis, NC",-1,-1,-1,-1,-1,-1
12,Data Engineer,Employer Provided Salary:$75 - $85 Per Hour,"This is a W-2 position, since it is a Contract to Hire one.
Strong written and verbal communication skills
Strong interpersonal skills - Self-motivated; self-starter
Ability to manage multiple tasks and respond quickly to emergent problems.
Experience working in Agile SDLC methodology
Proficient with SQL and T-SQL programming skills
Working experience building data/ETL pipeline and data warehouse
Perform thorough testing and data validation to ensure the accuracy of data transformations.
Job Types: Full-time, Contract",-1,InfoLogitech,Remote,-1,-1,-1,-1,-1,-1
13,Data Engineer I,$53K - $101K (Glassdoor est.),"The Data Engineer I will assist in the design, evaluation, and construction of systems that support Master Data projects across the organization. This includes data cleaning, preparation, and ETL. The Data Engineer I will work with the appropriate technology and software engineering solutions to facilitate real time service and data quality process development and maintenance. This position will collaborate directly with Data Scientists, Data Engineers, Data Architects and other integrating application technical team members.
Essential Job Functions
Develop internal API's for other application teams to interact with Master Data.
Support and maintain data pipelines on a per project basis.
Move, structure, encode, and condense data from disparate database systems and formats.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.",3.3,"O'Reilly Auto Parts
3.3","Springfield, MO",-1,-1,-1,-1,-1,-1
14,Data Engineer,$66K - $116K (Glassdoor est.),"Onebridge is a consulting firm with an HQ in Indianapolis, and clients dispersed throughout the United States and beyond. We have an exciting opportunity for a highly-skilled Data Engineer to join an innovative and dynamic group of professionals and become our next employee-owner.
This role can be full-time or contract for the right candidate.

Data Engineer | About You
As a Data Engineer, you are responsible for working with clients to develop end-to-end data-driven solutions. Must be highly analytical and have the proven ability to develop and reverse engineer complex solutions. Critical thinking and advanced problem-solving skills are core behaviors among the team. Strong team and project lead experience will be valuable for this role. You are looking to get in early to an emerging IT operation intent on developing and elevating team members while offering valuable exposure and experiences.",3.7,"Onebridge
3.7","Indianapolis, IN",-1,-1,-1,-1,-1,-1
15,Data Engineer,Employer Provided Salary:$110K - $130K,"In this role, the incumbent would be part of a core data analytics focused team, collecting and managing data, as well as managing the storage of the data, with the goal of making data accessible so that California Department of Public Health (CDPH) and local public health can use it to evaluate and optimize interventions and public health policies. The incumbent provides a foundation of CDPH data operations, taking large amounts of raw data and preparing it for prediction algorithms, etc. They will work with diverse teams of subject matter experts to build systems that collect, manage, and convert raw data into usable information for data scientists and business analysts to interpret. This role will also work across all Centers and Programs, including executive leadership, to bring big data solutions to the end users.
This position would play a key role in the incorporation of the elements of decision intelligence (DI) into the CDPH Ecosystem of Data Sharing (EODS), including identifying sources for use cases, performing data transformations, researching causal inference models, documenting target population/user stories, ingesting data into ADLS, developing coding for causal inference and running DI models in EODS, selecting use cases for pilot implementation, and gathering system requirements based on user stories. This role serves as a more platform and systems focused side of the data scientist role. The key skill for this role is to develop a technically working solution from data through storing and cleaning the data and making the data fit for processing, feature engineering together with a data and analytics translator, developing the algorithms and writing the software code for processing the data, using linear algebra, tensor calculus, statistics and other math, extracting insights from the processed data, and suggesting and technically building business solutions from the analytics-derived insights.",4.4,"CDC Foundation
4.4",Remote,-1,-1,-1,-1,-1,-1
16,Data Engineer,Employer Provided Salary:$65K - $110K,"Data Engineer, Columbus OH
Founded in 2015, TNEDICCA is a Technology startup based in Columbus, OH specializing in providing location-based traffic crash intelligence and analytical platform services to enable Auto insurance companies improve profitability through more accurate risk ratings and safety-based navigation.
We are currently looking for a Data Engineer to join our talented team of Data Science professionals in driving our mission forward. This position requires experience with working in large volumes of geo-spatial & relational data and an understanding of database design , management and architecture. You will serve as subject matter expert on data structures, data sources and tools, techniques, and methodology to process data that enables advanced analytics.
Who you are...",-1,TNEDICCA,Remote,-1,-1,-1,-1,-1,-1
17,Data Engineer,Employer Provided Salary:$60 - $65 Per Hour,"Title: Data Engineers
Duration: 12 month contract
Location: 100% remote
Interview: 2 video
Job Description
Data Engineer Responsibilities:
Build the next generation of digital banking solutions, derive and govern interaction customer data to improve engagement across marketing channels that provide insights to guide critical business decisions.",4.4,"Intellisoft Technologies inc.
4.4",Remote,-1,-1,-1,-1,-1,-1
18,Data Engineer,Employer Provided Salary:$75 - $80 Per Hour,"Hi,
Hope you are doing great!!
Please find the below job description and let me know your Interest.
Role : Data Engineer
Location : 100% remote
Duration : 4 months
Job Description
Strong written and verbal communication skills",4.2,"Infologitech
4.2",Remote,-1,-1,-1,-1,-1,-1
19,Data Engineer,$77K - $143K (Glassdoor est.),"Who is Blueprint?
We are a technology solutions firm headquartered in Bellevue, Washington, with a strong presence across the United States. Unified by a shared passion for solving complicated problems, our people are our greatest asset. We use technology as a tool to bridge the gap between strategy and execution, powered by the knowledge, skills, and the expertise of our teams, who all have unique perspectives and years of experience across multiple industries. We're bold, smart, agile, and fun.
What does Blueprint do?
Blueprint helps organizations unlock value from existing assets by leveraging cutting-edge technology to create additional revenue streams and new lines of business. We connect strategy, business solutions, products, and services to transform and grow companies.",3.7,"Blueprint Technologies
3.7","Bellevue, WA",-1,-1,-1,-1,-1,-1
20,Data Engineer,$95K - $192K (Glassdoor est.),"About Us
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.
About the Role
Data is central to Twitch's decision-making process, and data engineers operate at the forefront of this by creating datasets that inspires analysis across all of Twitch. You will shape the way that our performance is measured, defining how we transform our data, and scaling analytics methods and tools to support our growing business, leading the way for high-quality, high velocity decisions.",4.0,"Twitch
4.0","San Francisco, CA",-1,-1,-1,-1,-1,-1
21,"Senior Software Engineer, Data Science",Employer Provided Salary:$240K,"About Carvana
If you like disrupting the norm and are looking for a company revolutionizing an industry then you will LOVE what Carvana has done for the car buying experience. Buying a car the old fashioned way sucks and we are working hard to make it NOT suck. At Carvana, our customers can hop online to...
Search and browse our inventory of over 20,000 vehicles that we own and certify.
Narrow down search results using highly intelligent filtering tools/components.
View vehicle details, Carfax reports, and 360 rotating studio images for every vehicle.
Secure financing in minutes using Carvana's in-house service or their own bank.
Interact with GUI components to easily customize loan length, down payment, and monthly payment.",3.4,"Carvana
3.4","Phoenix, AZ",-1,-1,-1,-1,-1,-1
22,Azure Data Engineer,$71K - $134K (Glassdoor est.),"We are looking for a seasoned Azure Data Engineer with a proven track record of delivering highly scalable Data Platforms.

Responsibilities
Azure Data Engineering for client projects
Provide Engineering guidance on Azure data services
Model data schema on Azure Synapase
Implement a secure, elastic and performance Azure environment
Confirm data governance and access control requirements",3.6,"Cayuse Talent Solutions
3.6","Seattle, WA",-1,-1,-1,-1,-1,-1
23,Data Engineer,-1,"JOB RESPONSIBILITIES
The primary focus of a Data Engineer will be expanding and optimizing our data and data pipeline architecture and optimizing data flow and collection for cross-functional teams. The Data Engineer will support our software developers, database architects, and data analysts on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems, and products.
Essential Responsibilities include the following. Other duties and special projects may be assigned.
Create and maintain optimal data pipeline architecture
Assemble complex, large data sets that meet business requirements
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Keep our data separated and secure across national boundaries through multiple AWS regions.",3.3,"ABB OPTICAL Group
3.3",Remote,-1,-1,-1,-1,-1,-1
24,Big Data Engineer,Employer Provided Salary:$80K - $120K,"Informatica Developer
Good solid knowledge across multiple Informatica tools including Informatica Powercenter, PowerExchange,CDC, B2B/MFT, Data Quality, MDM, Data Engineering and Cloud Integration
Experience with product installation, configuration and license management
Solid administration experience with Informatica domains, nodes, service mangers and repository services with the ability to manage product and services across multiple Linux platforms
Monitor domain services and troubleshooting
Strong Linux knowledge with solid shell scripting skills
Job Types: Full-time, Part-time, Contract",4.2,"Purple Drive Technologies
4.2","Cary, NC",-1,-1,-1,-1,-1,-1
25,New Graduate Roles,-1,"Join Us to Help Connect the World!
We are hiring New Graduate Engineers (BS, Masters, PhD) across the following disciplines: mechanical engineering, aerospace engineering, computer science, electrical engineering and RF engineering.
If you have a particular focus in telecommunications, software defined radio, robotics, and/or space systems, we'd love to hear from you!
New Graduate Engineers.
At Lynk there are a variety of opportunities available to new graduates. New Graduate engineer positions are available to graduates who have completed a bachelor's or graduate-level degree in Aerospace, Mechanical, Electrical, Computer Engineering or another relevant STEM-field. As a new graduate engineer, you will be responsible for working both autonomously and collaboratively working on actual space and telecommunications hardware development projects. Since Lynk is responsible for the design, build, test, and operation of satellites through the full life cycle, new graduate engineers will be exposed to every phase of what is involved in getting satellites on orbit and flying them. We seek multidisciplinary technical talent to support the design and testing of more than just one of our spacecraft systems including Mechanical, Electrical, Communications, Flight Control, Command & Data Handling, and Flight Software, etc.",3.1,"Lynk
3.1","Falls Church, VA",-1,-1,-1,-1,-1,-1
26,Data Engineer,$95K - $186K (Glassdoor est.),"Why Glassdoor?
Our mission is to help people everywhere find a job and company they love. In the process, we're transforming the workplace experience through the power of transparency and further cementing ourselves as the worldwide leader in employer branding and insights. By choosing a career at Glassdoor, you'll be directly contributing toward our vision for a world where transparency empowers the workforce and motivates companies to become better employers.
Please note: This role may be open to remote hiring. Our office locations are in San Francisco, CA; Chicago, IL; Uniontown, OH; London, UK; and Dublin, Ireland.
We are looking for a dedicated Data Engineer to join our growing Data Engineering team. The ideal candidate has experience in building scalable data pipelines that enable decision making, analytics, data science and data products. You must have strong, hands-on technical expertise in big data technologies and the ability to adapt to emerging technologies and fashion robust, scalable solutions.",4.1,"Glassdoor
4.1","San Francisco, CA",-1,-1,-1,-1,-1,-1
27,Software Engineer - Data,$88K - $152K (Glassdoor est.),"About Us
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.
About the Role
Twitch is building the future of interactive entertainment. The Data Platform team develops and operates the platform that enables Twitch's data-informed decision-making. This ranges from the machine learning models that power Twitch Search to empowering self-serve analytics for business staff. Our data pipeline receives over 220 billion events a day, and we forward live data to hundreds of systems as well as powering decisions at all levels of Twitch. We provide tools to ingest, store, transform, move, and understand data.",4.0,"Twitch
4.0","Salt Lake City, UT",-1,-1,-1,-1,-1,-1
28,Data Engineer,$112K - $203K (Glassdoor est.),"Because you belong at Twilio
The Who, What, Why and Where
Twilio is seeking a Data Engineer to join our world-class B2B Marketing team. Efficient systems are at the heart of any agile, data-driven organization, and as a Data Engineer, will join us to build a scalable data platform.
This person will design and build data integrations, ETL workflows, dimensional data models, and manage our data warehouse and integration infrastructure that fuels strategic business decisions across Twilio. They will lead us towards a deeper understanding of our customer experience, and help us identify initiatives that will set the bar for customer engagement. Our team is heavily reliant on data to make strategic decisions and investments. As a result, this is an influential role in which someone will collaborate cross-functionally with engineering, product, and data teams to implement end-to-end analytical solutions that will have direct and measurable impact on Twilio's core growth strategy.",4.3,"Twilio
4.3","San Francisco, CA",-1,-1,-1,-1,-1,-1
29,Big Data Engineer,$71K - $145K (Glassdoor est.),"Multiple Bigdata Job Positions across Dallas, TX and Tampa, FL
Position 1: Big Data Engineer
Location: Dallas TX
Experience Required - 6+ years
Job Description
Hadoop/HDFS.
Spark is a must. Scala preferred but Java is ok too.
Experience Spark core, Spark SQL, Spark Streaming ( these 3 are a must) and Spark ML is good to have.",4.4,"Alt Shift USA
4.4","Dallas, TX",-1,-1,-1,-1,-1,-1
30,Data Engineer,$89K - $169K (Glassdoor est.),"Niantic's Data and Analytics Engineering Team is seeking a Data Engineer to build and create data analytics warehouses and infrastructure that is part of our planet-scale real world platform, the Niantic Lightship Platform. This is the platform underpinning the games that Niantic publishes that includes Pokémon GO, Ingress, and Pikmin Bloom. Join us in building and contributing to the next-generation data and analytics platform that would help Niantic build better games using data.
Responsibilities
Design, develop infrastructure, and maintain data warehouses to collect and deliver reliable performance reporting.
Build sophisticated ETL pipelines to ingest, move, transform, and validate petabytes of structure data from diverse sources.
Assist in owning existing processes running in production, optimizing complex code.",3.7,"Niantic
3.7","Sunnyvale, CA",-1,-1,-1,-1,-1,-1
31,Data Engineer,$89K - $169K (Glassdoor est.),"Resource Skills/Pre-requisite:
BS or MS in Computer Science, Analytics, Statistics, Informatics, Information Systems or another quantitative field. or equivalent experience and certifications will be considered
More than 1 year of experience with modern data warehouse (Snowflake, Redshift, Azure, etc.)
More than 3 years of experience building data pipelines or data models
Experience with CRM and ERP systems and underlying data structures such as Salesforce and NetSuite or equivalent
Extremely Proficient in SQL
Proficiency in Python, R, or other scripting language
Experience in data integration (ETL/ELT) tools such as Talend, and Fivetran, Amazon Glue",-1,Source IT,"Boston, MA",-1,-1,-1,-1,-1,-1
32,"Big Data Engineer - Hadoop data engineer at Dallas, TX",$89K - $169K (Glassdoor est.),"The ETL Hadoop Data Engineer will be responsible for analyzing the business requirements design develop and implement highly efficient highly scalable ETL processes
Candidate is required to perform daily project functions with a focus on meeting the business objectives on time in rapidly changing work environment and should be able to lead and drive globally located team to achieve business objectives

Required Skills:
3 8 years of hands on experience working with ETL Hadoop Knowledge of various components of Hadoop ecosystem and experience in applying them to practical problems Hive Impala Spark Strong knowledge of working with relational databases like Teradata DB2 Oracle Sql server
Hands on experience in writing shell scripts on Unix platform Experience in data warehousing ETL tools MPP database systems
Understanding of Data Models Conceptual Logical and Physical Dimensional Relational Data Model Design Analyze functional specifications and assist in designing potential technical solutions Identifies data sources and works with source system team and data analyst to define data extraction methodologies
Good knowledge in writing complex queries in Teradata DB2 Oracle PL SQL Maintain batch processing jobs and respond to critical production issues communicate well with stakeholders on his her proposal recommendations
Knowledge status risks regarding delivering solution on time
Strong experience with Data Analysis Data Profiling Root Cause Analysis
Should able to understand Banking system processes and data flow
Can work independently lead and mentor the team.",-1,CapB InfoteK,"Dallas, TX",-1,-1,-1,-1,-1,-1
33,Staff Data Engineer - Trusted Data,$89K - $169K (Glassdoor est.),"Who We Are
Realtor.com is your one-stop-shop for homebuyers, sellers, and dreamers, with comprehensive for-sale listings, insightful information, valuable tools, and professional expertise. We make buying, selling, renting, and living in homes easier and more rewarding for everyone. We're excited and hungry to make a difference to the millions of people in the US who buy a home each year. Our aspiration starts with treating our home buyer as our focal point - we believe that delivering on experiences that truly help people through this seemingly difficult life event will lead us to continued and greater success as a company.

About The Role
We have an exciting and unique opportunity for a motivated and energetic Staff Data Engineer to join the Realtor.com Data Enablement team. In this position, you will enable optimal data-driven decisions that empower our products and people. You will develop tools and platforms to process data into our data lake easily, develop systems that ensure data is well defined and trustworthy, and build enabling platforms that make the data easily accessible throughout the company. You will incorporate DevOps practices, learn about and leverage new technologies, work with an experienced team of engineers, and be part of a team that has a lot of fun along the way!",3.6,"realtor.com
3.6","Santa Clara, CA",-1,-1,-1,-1,-1,-1
34,Data Engineer,$89K - $169K (Glassdoor est.),"About Us
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.
About the Role
You will shape the way that performance is measured, establish how we transform our data, and scale analytics methods and tools to support our growing business, leading the way for high-quality, high velocity decisions.",4.0,"Twitch
4.0","San Francisco, CA",-1,-1,-1,-1,-1,-1
35,Data Engineer,$89K - $169K (Glassdoor est.),"We're looking for a remote Data Engineer to support our team. The ideal candidate will creatively solve problems in evaluating our current Brainjolt data requirements across all of our departments (including Editorial, Video, and Business Development). They'll be driving growth by optimizing and evolving current processes that will directly impact our company's scalability. They'll be constantly learning about new platform resources and the financial costs associated with them. They'll be radically candid in communicating roadmaps, priorities and processes, across multiple teams. They'll own the process of proactive error detection to uphold the integrity of our data.
Here at Brainjolt, our sole mission is to battle boredom. Across our 25+ brands, we curate and create viral video content (including Snapchat's Bad Parenting Moments) as well as click-worthy articles on our HUGE web properties (including 22Words, 22BestThings, The Indy), with a collective audience size greater than the entire population of Thailand (69.8 million+) across all of Brainjolt's platforms . Furthermore, our growing partnerships with both globally recognizable and up-and-coming Amazon affiliates constantly surprise and delight our audiences with the latest gadgets we know. they'll. love.",2.8,"Brainjolt
2.8","Los Angeles, CA",-1,-1,-1,-1,-1,-1
36,Data Engineer,$89K - $169K (Glassdoor est.),"Data Engineer
24+ Months
Skills:
Experience with Spark, Hadoop, Hive, Pig etc. Proven expertise with extracting data from a wide variety of sources and transforming the data as needed.
Proficiency in at least one programming language ( Python/PySpark or Scala) and an expert understanding of SQL. Expert knowledge of relational and non-relational databases.
Previous experience of dealing with large to very large data sets.
Be able to communicate collaboratively with Data Scientists and ML Software developers to understand requirements we have and deliver the best in class data solutions.
Previous experience with statistical modeling and deep learning frameworks / libraries is a definite plus.",4.8,"Integration Developer Network LLC
4.8",Remote,-1,-1,-1,-1,-1,-1
37,Data Products Engineer,$89K - $169K (Glassdoor est.),"An analytical builder creating and optimizing data solutions.
WHO WE ARE
Biofire Technologies is on a mission to give gun owners better tools for reducing preventable gun injuries and deaths, especially among children. We believe our technology, combined with a best-in-class customer experience, will define the future of firearms safety for the next generation. Our mission-driven approach has earned support from the firearm community, the tech world, and the media.
Biofire employees are world-class engineers who have designed and tested firearms, medical devices, robots, cars, satellites, rockets, and supersonic jets. What unites our team is our commitment to safety and reliability that we bring to our work every day.",3.5,"Biofire
3.5","Broomfield, CO",-1,-1,-1,-1,-1,-1
38,Data Developer OR Engineer,$89K - $169K (Glassdoor est.),"Position: Data Developer / Engineer
Location: Bellevue, WA
Hire Type: Full Time
Job Description:
Software Engineers are skilled in solving various technical problems by effectively leveraging the collaborative platforms in an ecosystem. This opportunity allows one to independently implement diverse and complex engineering tasks through analytical thinking and problem solving. Software Engineers will get to exhibit a deep understanding of the end-to-end software life cycle and show high levels of collaboration, customer centricity and effective communication to understand requirements, analyze, provide support, and deliver technical
Job Type: Full-time",4.6,"Teamware Solutions
4.6","Redmond, WA",-1,-1,-1,-1,-1,-1
