,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,Data Analyst I,-1,"ABOUT MISFITS GAMING GROUP

Misfits Gaming Group (MGG) is a premier esports platform coupled with a Millennial and Gen Z focused media and content engine. We compete in some of the most successful video game titles worldwide and are permanent partners in three franchised esports leagues: Riot Games' League of Legends European Championship (Misfits Gaming), Activision-Blizzard's Overwatch League (Florida Mayhem), and Activision-Blizzard's Call of Duty League (Florida Mutineers).

MGG utilizes world-class management and a deep understanding of the esports and video gaming ecosystem to establish fruitful partnerships with international brands and organizations and commit to growth through the players and the community. We’re building an organization and community that we believe in, where diversity, inclusion, engagement, and belonging are embraced. We are an equal opportunity employer and welcome people of different backgrounds, experiences, and abilities.",-1,Esports Now LLC,"Boca Raton, FL",-1,-1,-1,-1,-1,-1
11,Data Analyst I,-1,"ABOUT MISFITS GAMING GROUP

Misfits Gaming Group (MGG) is a premier esports platform coupled with a Millennial and Gen Z focused media and content engine. We compete in some of the most successful video game titles worldwide and are permanent partners in three franchised esports leagues: Riot Games' League of Legends European Championship (Misfits Gaming), Activision-Blizzard's Overwatch League (Florida Mayhem), and Activision-Blizzard's Call of Duty League (Florida Mutineers).

MGG utilizes world-class management and a deep understanding of the esports and video gaming ecosystem to establish fruitful partnerships with international brands and organizations and commit to growth through the players and the community. We’re building an organization and community that we believe in, where diversity, inclusion, engagement, and belonging are embraced. We are an equal opportunity employer and welcome people of different backgrounds, experiences, and abilities.",-1,Esports Now LLC,"Boca Raton, FL",-1,-1,-1,-1,-1,-1
12,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
13,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
14,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
15,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
16,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
17,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
18,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
19,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
20,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
21,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
22,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
23,Data Analyst,Employer Provided Salary:$47K - $75K,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets",-1,Loewe Tech Software,Remote,-1,-1,-1,-1,-1,-1
24,Data Analyst,Employer Provided Salary:$110K - $130K,"Our client, partners with YouTube creators, delivering up-front cash that empowers them to grow their brands while retaining their freedom. Their proprietary technology enables creators to strategically value YouTube content libraries and unlock the value of that content. Sound interesting? Read on!
Responsibilities
The Data Analyst will support the daily analytics operations
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop ad-hoc analysis and reporting
Understand and analyze data and communicate findings to stakeholders
Partnering with data engineers to ensure smooth, efficient, resilient, and agile knowledge delivery pipelines",-1,Spotter,"Culver City, CA",-1,-1,-1,-1,-1,-1
25,Data Warehouse Analyst,$53K - $105K (Glassdoor est.),"For one of our ongoing multiyear projects we are looking for a Data Warehouse Analyst out of Madison, WI.

Responsibilities:
Ability to organize and lead meetings with technical, business and operational data owners from a wide array of backgrounds.
Coordinates and communicates between business users and the business intelligence team. Manages the balance between business requirements and user expectations throughout the entire project lifecycle. Strives for a deeper understanding of our customers' business drivers.
Ability to document and speak competently to business objectives, gaps, needs and problems. Once documented, can leverage the knowledge and materials to help the IT team devise product and process solutioning that can be delivered to meet the defined needs of the business users. Works closely with the business users to document business processes. Focuses on specific business user needs such as how data is to be summarized, used in day to day operations and formatted in reports and dashboards.
Business processes improvement

Develop and implement test plan and test cases

Standardized process and procedures development

General Competencies

Experience communicating effectively across a wide variety of stakeholders

Experience independently facilitating meetings

Experience producing a wide array of project documentation

Problem troubleshooting, diagnostic, planning and time management

State of Wisconsin Privacy Regulations

Information Technology–Databases

Data flow diagramming

Data Warehouse - Experience in requirements gathering for data warehouse

Information Technology–Design

Participate in design reviews

Information Technology–Requirements

Documenting business processes

Process mapping current state and future state processes in Visio

Requirements analysis

Requirements gathering",-1,CapB InfoteK,"Madison, WI",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
26,Data warehouse Analyst,-1,"Position: Data warehouse Analyst
Location: Scottsdale, AZ
Full time/Permanent
Must have understanding of data processing and data warehousing concepts. Experience with gathering requirements for BI/Data warehouse project is must
Experience with ETL/BI tools is must
Experience in Data Analysis, Data profiling, Data Validation using complex SQL queries on top of RDBMS/Hadoop- HiveQL, SparkSQL / GCP Big Query etc. for validation of ETL data pipelines
Performing Fit GAP assessments of current/future state data platforms and creating an appropriate transition path/roadmap
Ability to understand code developed using python, pyspark etc",-1,TechOkaya,"Scottsdale, AZ",-1,-1,-1,-1,-1,-1
27,Data Analyst,$43K - $89K (Glassdoor est.),"L&S Mechanical, the leading plumbing, electrical, and HVAC new home contractor in Texas, is looking for a data analyst to participate in the transformation of how the company analyzes and acts upon the massive amounts of data it already collects and generates.
As the Data Analyst at L&S you will:
Consolidate and eliminate manual reporting by developing automated reporting and forecasting tools
Create standard and ad-hoc reports
Create analytical tools for managers and departments
Identify trends or patterns in complex data sets
To succeed in this position, you should have the following qualities:",4.4,"L&S Mechanical
4.4","Dallas, TX",201 to 500 Employees,1985,Company - Private,Construction,"Construction, Repair & Maintenance Services",$50 to $100 million (USD)
28,Data Analyst,$42K - $89K (Glassdoor est.),"WMG's top priority is the safety and wellbeing of its team members, artists and songwriters across the globe. In response to COVID-19, WMG is fully committed to helping its people balance their home and life commitments with flexible working options, virtual wellness sessions, and more. WMG strives to maintain a COVID-free workplace. To that end, being fully vaccinated against COVID-19 is a condition of employment for all US new employees, prior to the commencement of employment. If you are hired, you will be required to provide proof of your vaccination as part of your new employee onboarding process, subject to our legal obligation to make reasonable accommodations in certain limited circumstances.
Job Description:
At Warner Music Group we’re all about our people. Our global company is made up of knowledgeable, passionate, and creative individuals. Our commitment to Diversity, Equity and Inclusion fosters a culture where you can truly belong, contribute, and grow. We believe in each individual’s value and encourage applications from people of any age, gender identity, sexual orientation, race, religion, ethnicity, disability, veteran status, and any other characteristic or identity.
It is the mission of every member of the WMG team around the world to create a nurturing environment for artists, songwriters, and the people behind the music – at every stage of their career. We strive to set WMG apart by embracing innovation – an integral part of our company's DNA.",3.9,"Warner Music Group
3.9","Santa Fe, NM",1001 to 5000 Employees,2003,Company - Public,Broadcast Media,Media & Communication,$2 to $5 billion (USD)
29,Data Analyst (Remote),-1,"Criteria is a technology company that's changing the way organizations find and hire great talent. Headquartered in Los Angeles with offices in New York, Brisbane, Melbourne, and Sydney, Criteria is a global company and we're growing quickly. We've been featured on the Inc. 5000's list of fastest-growing private companies in the U.S. for the last seven years and have been recognized as a Best Place to Work by Inc. and Built in LA.
Most importantly, people are at the heart of everything we do. Our mission is to help companies and job candidates connect to do fulfilling, meaningful work together. We hire with the same intention to provide a collaborative, inclusive, and balanced environment where every individual can bring their best selves to work.
About the Role:
We're looking for a data analyst to join our data and analytics team. The team is responsible for helping to surface deep insights that support our data-driven initiatives. As an early hire in this growing department, it is important that you are passionate for creating actionable insight with data and are excited to help us maintain a data-first mentality throughout our organization.",4.7,"Criteria Corp
4.7",Remote,51 to 200 Employees,2006,Company - Private,Computer Hardware Development,Information Technology,$25 to $50 million (USD)
30,Entry Level Data Analyst,$27 - $30 Per Hour(Employer est.),"We are seeking an Entry level Data Analyst to become an integral part of our Team. You will analyze data to understand business and Market Trends in order to increase company revenue and efficiency.
Must be willing to relocate.
Responsibilities:
Use data to understand Business patterns and trends.
Analyze internal and external data through quantitative research
Perform data cleanups and document processes
Investigate and resolve any data discrepancies in a timely manner and present findings to management
Review and update reconciliation reports",-1,TRESUME,"Arlington, VA",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
31,E-Commerce Data Analyst,$27 - $30 Per Hour(Employer est.),"HANRO stands for Pure Luxury on Skin for over 135 years. In developing our own fabrics with production in Europe we earned our reputation as the destination for luxury quality Intimate Apparel, Sleep, and Loungewear for Women and Men around the world. This newly created position will support the growth of our e-commerce team for the shop.hanrousa.com, hanrocanada.com, and us.hom.com websites.
Job Description:
The Ecommerce Data Analyst is responsible for the creation of actionable business insights and reporting. They will support the day-to-day functions of the business through detailed reporting, forming intelligent and accessible insights that promote data-driven decision making.
Essential Job Duties and Responsibilities:
Help build reporting framework and data analytics to understand consumer pathways on the site and shopping behavior",-1,HANRO,"Eatontown, NJ",-1,-1,-1,-1,-1,-1
32,Data Analyst,$27 - $30 Per Hour(Employer est.),"This job is available for fully remote work.

What you’ll do:

The Healthcare Data Analyst is responsible for the entire data life cycle – data mining, analysis, interpretation, and predictive modeling & insights.
Reading data specifications of incoming data (e.g. clinical, claims, providers, HR etc) and defining how to map them to FHIR (Fast Healthcare Interoperability Resources)
Working with development and product teams to understand b.well’s data requirements (e.g. care needs, provider search, scheduling, explanation of benefits, etc)
Implement mappings using our data mapping tool
Define quality controls for each data set",4.4,"B.well Connected Health
4.4","Austin, TX",51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
33,Data Analyst,$27 - $30 Per Hour(Employer est.),"!!! Temporary 12+ months contract
Acara solutions is looking for a Data Analyst for our client located in San Diego, CA
Pay and Benefits: The salary for this position is between $55.00 and $60.00 per hour (Max Pay rate).
Required Skills / Qualifications:
Bachelor's Degree BS in Industrial Engineering or Computer Science or Computer Engineering or Engineering Physics or Physics or Applied Physics
Minimum of 3 years' experience in Visual Basic or VBA.
Minimum of 3 years' experience in Python.
Minimum of 3 years' experience in HTML",3.8,"Acara Solutions
3.8","San Diego, CA",10000+ Employees,1957,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
34,DATA ANALYST - US,$27 - $30 Per Hour(Employer est.),"Luminex, a DiaSorin Company is seeking dedicated and talented individuals with a proactive and positive ‘can-do’ attitude to join our team. If changing the diagnostic landscape and revolutionizing patient care sounds like something you would like to be a part of, we invite you to apply today! Together, we can help healthcare providers improve patient outcomes, make a difference in fighting the COVID-19 outbreak, and tackle the world’s most pressing health issues. You can learn more about our values, mission, and vision by visiting our website https://www.luminexcorp.com/about-luminex/.

The Data Analyst will be responsible for:
This position is responsible for providing Data Science and statistical support for projects associated with assays developed by Luminex and DiaSorin. This includes managing and developing ETL pipelines, administration and development of cloud databases and data analytic tools, and providing various data science and statistical services to other functional groups and technical support teams. This position necessitates close collaboration with other departments to ensure effective and efficient delivery of requested analyses.

What you will do

Education Qualifications

Experience Qualifications

Training and Skills

Travel Requirements

Luminex Corporation is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, disability status of an otherwise qualified individual, citizenship status, membership or application for membership in a uniformed service, or any other protected characteristic or category protected by applicable law.",3.5,"Luminex
3.5","Northbrook, IL",1001 to 5000 Employees,1995,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD)
35,Data Analyst,$27 - $30 Per Hour(Employer est.),"PerBlue is looking for our next great aspiring Data Analyst to join our team of experienced mobile game creators. We’re a growing independent studio whose free-to-play midcore mobile games are being played by millions of people around the world, including the award-winning Disney Heroes: Battle Mode.
Our team brings together experience from major studios in the videogame and technology industries. Headquartered in Madison, Wisconsin, we also work remotely around the United States for an unmatched quality of life and work.
In this early-career opportunity, you’ll add your skillset to our Business Intelligence team, providing the analysis and insights to help our team create amazing experiences for our fans around the world. You’re a thoughtful aspiring data wizard who can manage mountains of mobile game data from a variety of sources and discover new ways of understanding and presenting insights to our team from across the studio. You’re a creative thinker who brings a commitment to delivering results.
Principal Responsibilities",4.1,"PerBlue
4.1","Madison, WI",1 to 50 Employees,2010,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable
36,Data Analyst,$27 - $30 Per Hour(Employer est.),"Title: Sr. Data Analyst
Location : Bothell , Washington
Duration : 12 Months
Overview:
The Senior Data Analyst role is responsible for establishing data gathering requirements for new customer-facing Digital functionality and is accountable for ensuring data quality and consistency on the related instrumentation of Digital Analytics. Successful Senior Data Analysts are self-starters with innate curiosity and a passion for data quality and continuous improvement. By blending their interpersonal, technical, and analytical capabilities, they enable the team to achieve thoughtful and comprehensive reporting solutions.
Required Skills and Experience (3-5 years):",3.9,"Equinox IT Solutions LLC
3.9","Bothell, WA",1 to 50 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
37,Data & Telecommunications Analyst,$27 - $30 Per Hour(Employer est.),"Data & Telecommunications Analyst
Job Summary
Responsible for overseeing technical expertise to ensure that voice communications are sufficient, appropriate, functioning and performing at optimum and cost-effective levels. Determines causes of systems malfunctions and directs or performs corrective actions. May solve highly technical complex problems and be called on to consult for other projects. Viewed as a Subject Matter Expert within the organization. Acts as a technical specialist within own area. Integrates knowledge of business and functional priorities. Acts as a key contributor in a complex and crucial environment. May lead teams or projects and shares expertise.
***Great Benefits, pay based upon experience.
Data & Telecommunications Analyst Core Responsibilities
Participates in the design and maintenance of telecommunications networks; resolves complex network operating problems.
Diagnoses and resolves complex network operating problems with technical assistance from vendors, common carriers and technical IT management.






















#ComProfNED",3.9,"Comcast
3.9","Chelmsford, MA",10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
38,Need for Senior Consultant 1 Mid-Level Data Analyst,$27 - $30 Per Hour(Employer est.),"Experience working closely with lines of business, including Research Analysts to address data needs for analytics. Required 5 Years
Experience with SQL like DB2 (Legacy), AWS (Dynamo, Redshift ). Required 5 Years
Experience with analyzing raw system data. Required 5 Years
Expert level SQL writing experience . Required 5 Years
Experience extracting data from large, complex data warehouse. Nice to have 5 Years.
Exp. Preparing data reqs, data models and transformation rules for new data warehouse structures, incl. summary info optimized for analytics. Required 5 Years
Experience Creating test cases and performing quality validation of data warehouse content to ensure accuracy. Required 5 Years
Experience Working closely with lines of business, including Research Analysts to address data needs for analytics. Required 5 Years",4.2,"Infologitech
4.2","Trenton, NJ",1 to 50 Employees,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1
